metric,bridge,area_m2,share,pixels
L2,White Bridge,173127.43713629115,0.39011597633136097,164824
L2,Chain Bridge,152517.9782950352,0.3436757396449704,145203
L2,Red Bridge,118139.11952767846,0.26620828402366864,112473
L1,White Bridge,168805.13332243008,0.38037633136094673,160709
L1,Chain Bridge,143283.05845749777,0.3228662721893491,136411
L1,Red Bridge,131696.34317907697,0.29675739644970417,125380
L∞,White Bridge,178535.83138600455,0.40230295857988163,169973
L∞,Chain Bridge,149770.19049988076,0.33748402366863905,142587
L∞,Red Bridge,115478.5130731195,0.2602130177514793,109940
